epoch,lr-AdamW,step,train/loss_step,train/lr,train/metric_loss_step,train/recon_loss_step
,9.999999747378752e-05,9,,,,
0,,9,4.5557966232299805,9.999999747378752e-05,40.49186706542969,0.5066099762916565
,9.999999747378752e-05,19,,,,
0,,19,4.141367435455322,9.999999747378752e-05,36.490421295166016,0.49232539534568787
